Index,STATION,NAME,Month,Date,Year,Season,TMAX,TMIN
304,USW00094746,"WORCESTER, MA US",11,1,1950,Winter,71,45
305,USW00094746,"WORCESTER, MA US",11,2,1950,Winter,79,54
306,USW00094746,"WORCESTER, MA US",11,3,1950,Winter,54,38
307,USW00094746,"WORCESTER, MA US",11,4,1950,Winter,65,37
308,USW00094746,"WORCESTER, MA US",11,5,1950,Winter,64,35
309,USW00094746,"WORCESTER, MA US",11,6,1950,Winter,53,32
310,USW00094746,"WORCESTER, MA US",11,7,1950,Winter,63,40
311,USW00094746,"WORCESTER, MA US",11,8,1950,Winter,61,47
312,USW00094746,"WORCESTER, MA US",11,9,1950,Winter,61,51
313,USW00094746,"WORCESTER, MA US",11,10,1950,Winter,55,34
314,USW00094746,"WORCESTER, MA US",11,11,1950,Winter,41,30
315,USW00094746,"WORCESTER, MA US",11,12,1950,Winter,41,27
316,USW00094746,"WORCESTER, MA US",11,13,1950,Winter,39,24
317,USW00094746,"WORCESTER, MA US",11,14,1950,Winter,43,25
318,USW00094746,"WORCESTER, MA US",11,15,1950,Winter,52,28
319,USW00094746,"WORCESTER, MA US",11,16,1950,Winter,64,43
320,USW00094746,"WORCESTER, MA US",11,17,1950,Winter,58,37
321,USW00094746,"WORCESTER, MA US",11,18,1950,Winter,40,29
322,USW00094746,"WORCESTER, MA US",11,19,1950,Winter,57,32
323,USW00094746,"WORCESTER, MA US",11,20,1950,Winter,60,42
324,USW00094746,"WORCESTER, MA US",11,21,1950,Winter,57,24
325,USW00094746,"WORCESTER, MA US",11,22,1950,Winter,34,22
326,USW00094746,"WORCESTER, MA US",11,23,1950,Winter,33,18
327,USW00094746,"WORCESTER, MA US",11,24,1950,Winter,43,28
328,USW00094746,"WORCESTER, MA US",11,25,1950,Winter,52,41
329,USW00094746,"WORCESTER, MA US",11,26,1950,Winter,46,35
330,USW00094746,"WORCESTER, MA US",11,27,1950,Winter,42,33
331,USW00094746,"WORCESTER, MA US",11,28,1950,Winter,42,33
332,USW00094746,"WORCESTER, MA US",11,29,1950,Winter,35,25
333,USW00094746,"WORCESTER, MA US",11,30,1950,Winter,34,25
334,USW00094746,"WORCESTER, MA US",12,1,1950,Winter,35,23
335,USW00094746,"WORCESTER, MA US",12,2,1950,Winter,35,18
336,USW00094746,"WORCESTER, MA US",12,3,1950,Winter,59,32
337,USW00094746,"WORCESTER, MA US",12,4,1950,Winter,61,42
338,USW00094746,"WORCESTER, MA US",12,5,1950,Winter,42,26
339,USW00094746,"WORCESTER, MA US",12,6,1950,Winter,40,22
340,USW00094746,"WORCESTER, MA US",12,7,1950,Winter,39,27
341,USW00094746,"WORCESTER, MA US",12,8,1950,Winter,50,39
342,USW00094746,"WORCESTER, MA US",12,9,1950,Winter,49,30
343,USW00094746,"WORCESTER, MA US",12,10,1950,Winter,42,27
344,USW00094746,"WORCESTER, MA US",12,11,1950,Winter,45,34
345,USW00094746,"WORCESTER, MA US",12,12,1950,Winter,38,25
346,USW00094746,"WORCESTER, MA US",12,13,1950,Winter,35,22
347,USW00094746,"WORCESTER, MA US",12,14,1950,Winter,33,21
348,USW00094746,"WORCESTER, MA US",12,15,1950,Winter,30,22
349,USW00094746,"WORCESTER, MA US",12,16,1950,Winter,32,27
350,USW00094746,"WORCESTER, MA US",12,17,1950,Winter,36,21
351,USW00094746,"WORCESTER, MA US",12,18,1950,Winter,30,16
352,USW00094746,"WORCESTER, MA US",12,19,1950,Winter,23,13
353,USW00094746,"WORCESTER, MA US",12,20,1950,Winter,24,10
354,USW00094746,"WORCESTER, MA US",12,21,1950,Winter,29,13
355,USW00094746,"WORCESTER, MA US",12,22,1950,Winter,35,16
356,USW00094746,"WORCESTER, MA US",12,23,1950,Winter,34,23
357,USW00094746,"WORCESTER, MA US",12,24,1950,Winter,39,29
358,USW00094746,"WORCESTER, MA US",12,25,1950,Winter,29,9
359,USW00094746,"WORCESTER, MA US",12,26,1950,Winter,12,3
360,USW00094746,"WORCESTER, MA US",12,27,1950,Winter,13,-2
361,USW00094746,"WORCESTER, MA US",12,28,1950,Winter,30,5
362,USW00094746,"WORCESTER, MA US",12,29,1950,Winter,33,18
363,USW00094746,"WORCESTER, MA US",12,30,1950,Winter,39,28
364,USW00094746,"WORCESTER, MA US",12,31,1950,Winter,34,24
365,USW00094746,"WORCESTER, MA US",1,1,1951,Spring,35,17
366,USW00094746,"WORCESTER, MA US",1,2,1951,Spring,40,23
367,USW00094746,"WORCESTER, MA US",1,3,1951,Spring,47,34
368,USW00094746,"WORCESTER, MA US",1,4,1951,Spring,55,30
369,USW00094746,"WORCESTER, MA US",1,5,1951,Spring,32,20
370,USW00094746,"WORCESTER, MA US",1,6,1951,Spring,42,24
371,USW00094746,"WORCESTER, MA US",1,7,1951,Spring,35,15
372,USW00094746,"WORCESTER, MA US",1,8,1951,Spring,22,9
373,USW00094746,"WORCESTER, MA US",1,9,1951,Spring,25,3
374,USW00094746,"WORCESTER, MA US",1,10,1951,Spring,39,18
375,USW00094746,"WORCESTER, MA US",1,11,1951,Spring,40,25
376,USW00094746,"WORCESTER, MA US",1,12,1951,Spring,35,25
377,USW00094746,"WORCESTER, MA US",1,13,1951,Spring,35,23
378,USW00094746,"WORCESTER, MA US",1,14,1951,Spring,36,19
379,USW00094746,"WORCESTER, MA US",1,15,1951,Spring,48,30
380,USW00094746,"WORCESTER, MA US",1,16,1951,Spring,32,21
381,USW00094746,"WORCESTER, MA US",1,17,1951,Spring,37,20
382,USW00094746,"WORCESTER, MA US",1,18,1951,Spring,46,33
383,USW00094746,"WORCESTER, MA US",1,19,1951,Spring,53,35
384,USW00094746,"WORCESTER, MA US",1,20,1951,Spring,56,36
385,USW00094746,"WORCESTER, MA US",1,21,1951,Spring,50,14
386,USW00094746,"WORCESTER, MA US",1,22,1951,Spring,21,8
387,USW00094746,"WORCESTER, MA US",1,23,1951,Spring,33,10
388,USW00094746,"WORCESTER, MA US",1,24,1951,Spring,49,32
389,USW00094746,"WORCESTER, MA US",1,25,1951,Spring,37,27
390,USW00094746,"WORCESTER, MA US",1,26,1951,Spring,29,20
391,USW00094746,"WORCESTER, MA US",1,27,1951,Spring,25,14
