STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094746,"WORCESTER, MA US",3/7/1951,,58,32,
USW00094746,"WORCESTER, MA US",3/8/1951,,39,28,
USW00094746,"WORCESTER, MA US",3/9/1951,,29,16,
USW00094746,"WORCESTER, MA US",3/10/1951,,32,16,
USW00094746,"WORCESTER, MA US",3/11/1951,,42,21,
USW00094746,"WORCESTER, MA US",3/12/1951,,48,31,
USW00094746,"WORCESTER, MA US",3/13/1951,,36,30,
USW00094746,"WORCESTER, MA US",3/14/1951,,39,32,
USW00094746,"WORCESTER, MA US",3/15/1951,,37,32,
USW00094746,"WORCESTER, MA US",3/16/1951,,44,29,
USW00094746,"WORCESTER, MA US",3/17/1951,,41,28,
USW00094746,"WORCESTER, MA US",3/18/1951,,42,29,
USW00094746,"WORCESTER, MA US",3/19/1951,,37,30,
USW00094746,"WORCESTER, MA US",3/20/1951,,46,27,
USW00094746,"WORCESTER, MA US",3/21/1951,,46,25,
USW00094746,"WORCESTER, MA US",3/22/1951,,36,20,
