"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-20","61","39","59"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-21","67","35","65"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-22","65","41","48"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-23","48","25","40"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-24","54","28","45"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-25","48","35","47"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-26","61","23","60"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-27","70","34","68"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-28","68","38","62"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-29","67","52","66"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-30","78","42","78"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-01","78","47","59"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-02","59","34","44"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-03","47","32","47"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-04","48","34","48"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-05","72","35","67"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-06","74","31","74"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-07","83","44","80"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-08","80","35","71"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-09","75","49","75"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-10","75","39","39"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-11","39","33","38"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-12","58","30","52"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-13","52","28","35"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-14","41","34","40"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-15","47","35","46"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-16","46","39","45"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-17","50","35","35"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-18","42","31","39"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-19","43","34","43"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-20","61","34","52"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-21","52","24","47"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-22","47","28","34"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-23","40","32","30"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-24","37","24",
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-25","33","29","30"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-26","37","15","33"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-27","41","16","32"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-28","42","16","33"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-29","43","24","40"
